Sample,,PC1,PC2,PC3,A
248442,,14.3,1.23,7.27,0.57
248443,,-9.48,-5.33,5.78,0.49
248484A,,-7.22,-3.85,-2.15,1.41
248484G,,-13.17,-4.18,-2.76,1.2
248484L,,-8.68,-0.54,2.56,1.24
158534,,0.7,-4.61,10.06,NaN
FeO.tot,,-13.17,2.18,2.36,1.32
221123,,-5.74,-6.43,4.43,0.42
221127,,-9.42,-9.65,0.79,0.54
119215,,-2.37,0.93,3.5,0.74
131429,,8.26,-1.17,0.69,0.92
DM 23,,,,,
DM14,,35.58,-6.61,-1.22,NaN
DM2,,,,,
KS 1,,,,,
ABDP #2,58.2,-4.97,4.74,0.12,3.77
ABDP #2,102.4,-10.56,8.14,0,4.81
ABDP #2,158.7,-8.88,9.91,1.3,4.79
ABDP #2,190.9,-6.2,7.19,3.22,3.05
ABDP #2,219.2,-0.04,4.74,3.6,2.55
79NC94,,18.95,-7.43,6.98,0.51
79NC117,,-10.77,-0.94,0.97,2.01
79NC118,,-1.56,-4.29,1.84,1.34
79NC136,,-4.85,-4.73,0.41,1.83
C-3,,,,,
C-5,,,,,
Hoering,,,,,
Pg1,,-4.14,9.07,-1.23,2.69
Pg2,,-6.11,10.53,-1.11,2.89
Pg3,,-8.2,9.49,-1.09,3.23
Pg4,,-2.8,6.47,-0.59,3.19
Pg5,,-4.89,8.17,-0.79,3.93
Pg6,,-2.16,4.07,-0.32,2.74
Pg7,,-5.51,12.72,-2.24,7.68
MC -,,16.8,9.22,-0.36,4.43
80-05,,5.43,-2.08,-0.61,1.39
80-06,,,,,
79NC123,,2.18,-4.15,2.56,2.02
79NC124,,0.21,-0.71,2.99,2.17
79NC129,,-4.48,-1.37,1.15,2.78
79NC130,,-0.7,0.32,1.93,2.72
79NC131,,-3.85,0.18,1.68,2.92
UR17/14,,29.57,-6.32,1.02,0.88
UR82/6,,29.93,-5.64,-0.75,NaN
UR93/3,,31.83,-7.14,-0.41,1.32
UR98/1,,35.05,-6.88,-1,0.44
UR91/2,,19.74,-5.14,1.52,3.16
UR91/5,,11.77,-6.39,2.69,0.1
UR89/6,,30.12,-6.29,-0.41,NaN
UR82/10,,23.75,-12.55,-2.86,NaN
UR89/5,,-3.73,-10,-1.25,0.71
UR89/4 -,,17.59,-13.27,-5.11,0.34
UR89/7 -,,19.38,-11.26,-4.37,0.22
UR89/14,,-35.7,-14.31,-6.36,0.09
UR93/9 -,,16.77,-30.07,-10.86,0.14
UR86/2,,,,,
UR86/1,,,,,
FS1,,,,,
FS3,,,,,
FS6,,6.43,-4.56,-4.18,1.92
28-166 3,2.4,-3,0.97,2.54,NaN
28-148 4,-3.3,5.76,-2.73,0.34,NaN
28-148 6,2.9,-1.38,0.2,1.41,2.73
28 166 1,3.2,-1.81,-3.71,7.4,NaN
ZB 2,,-0.64,3.96,-1.04,NaN
ZB 6,,2.55,4.71,-1.91,NaN
ZB 12A,,,,,
ZB 12B -,,26.02,-12.26,-7.01,NaN
ZB 14,,-6.57,5.62,-4.05,NaN
ZB 21,,7.58,-3.81,-2.6,NaN
ZB 42 -,,11.89,-12.71,18.22,NaN
ZB 121,,6.91,-0.05,0.08,NaN
ZB 146,,9.06,0.48,-0.53,NaN
ZB 195,,16.66,-0.29,1.01,NaN
ZB 208,,-4.08,7.31,-1.92,NaN
ZB 212,,-1.75,6.76,-0.64,NaN
ZB 218,,-2.43,9.57,-0.72,NaN
ZB 220,,-0.22,5.99,-1.48,NaN
ZB 222,,-3.49,7.8,-2.76,NaN
ZB 223,,-5.78,9.24,-1.23,NaN
ZB 224,,-2.25,6.56,-1.26,NaN
ZB 226,,-4.03,9.03,-1.19,NaN
ZB 229,,6.39,3.83,-2.06,NaN
ZB 234,,-8.57,14.53,-0.43,NaN
PO84,,,,,
PO103,,-3.08,8.53,-2.71,3.01
PO55,,,,,
PO59,,,,,
PO60,,,,,
DRB3,,,,,
201427,,16.16,6.94,-1.47,1.27
201429,,12.39,6.27,1.54,1.12
221136,,10.5,-9.78,0.92,0.48
201424,,15.92,-1.02,0.26,0.96
201426,,18.02,-1.31,0.25,0.79
201428,,18.98,-2.74,-0.12,1.3
221137,,21.54,-1.37,0.16,0.75
221138,,23.21,-2.06,-0.41,0.59
7-Jan,,-7.4,-3.46,-3.95,1.49
8-Jan,,3.58,4.33,1.31,2.95
8-Feb,,-4.37,2.29,2.89,2.13
11-Feb,,3.2,-3.4,3.02,1.08
12-Feb,,-2.84,-4.5,3.96,0.8
15-Feb,,-5.15,10.08,-2,2.43
13RMG005,,-5.24,-14.52,-5.73,NaN
13RMG006,,-6.14,-15.4,-6.08,NaN
13RMG007,,-4.79,-14.9,-6.08,NaN
13RMG008,,-4.79,-14.15,-5.77,NaN
13RMG009,,-10.55,-16.08,-6.2,NaN
13RMG010,,-5.64,-14.91,-5.18,NaN
13RMG011,,-8.98,-18.73,-5.18,NaN
13RMG001,,2.82,-7.74,7.84,NaN
13RMG003,,2.73,-8.05,7.83,NaN
BAB1-403,1,-1.48,-2.48,-1.57,NaN
BAB1-404,2,25.15,-2.82,-0.42,NaN
BAB1-317,1,11.07,2.3,-0.88,NaN
BAB1-321,6,10,2.17,-0.92,NaN
ABDP #5,74.5,-0.2,0.26,-1.12,2.15
ABDP #5,86,0.07,-1.39,-0.86,1.99
ABDP #5,-122,3.88,-1.13,1.14,2.41
ABDP #5,164.6,-3.77,1.65,-0.73,2.62
ABDP #5,183.9,-1.4,2.36,-1.08,2.63
MPR,,-2.21,-2.44,-4.43,2.95
MWM,,-4.72,2.73,-3.16,2.94
NUWM,,3.48,1.59,-0.24,2.89
NLWM,,-3.14,5.29,-1.09,4.5
NMP,,-6.52,9.11,-2.91,3.72
NVS,,10.35,0.11,-1.94,1.82
79-2,,14.19,-2.58,0.37,2.87
79-11,,2.71,-0.46,0.3,2.26
79-6D,,4.03,-1.38,-0.85,2.38
80-19,,-7.39,1.91,0.56,2.38
M1-10 -,,22.74,4.45,0.36,4.68
ABDP #6,85.3,-5,6.26,-0.55,3.48
ABDP #6,95.9,-1.1,6.52,-1.12,3.9
ABDP #6,113.9,-10.26,16.4,-1.62,5.21
ABDP #6,173.5,-6.96,6.29,1.78,4.15
ABDP #6,267.7,-10.14,17.85,-1.83,5.62
1-Mar,,5.76,-2.29,0.52,1.81
2-Mar,,14.58,-2.27,-0.97,2.54
3-Mar,,18.94,-2.75,-0.24,5.48
4-Mar,,19.4,-2.92,-0.41,4.2
5-Mar,,-4.52,-0.97,2.96,1.25
6-Mar,,-0.16,2.14,0.44,2.24
7-Mar,,-0.18,-2.03,3.16,1.75
8-Mar,,11.35,-0.96,0.1,2.38
9-Mar,,-1.28,1.22,0.11,2.24
10-Mar,,0.83,0.87,-0.22,2.04
11-Mar,,-0.92,3.63,-1.31,2.69
12-Mar,,10.32,5.7,-1.46,2.3
13-Mar,,12.23,5.72,-1.51,3.29
14-Mar,,-1.16,4.38,-0.48,2.88
15-Mar,,6.88,2.87,-0.81,2.84
16-Mar,,-2.77,3.4,0.06,2.6
17-Mar,,-3.51,4.45,-0.55,2.44
18-Mar,,9.54,3.32,0.59,2.88
19-Mar,,-1.4,4.33,-1.02,3.17
21-Mar,,4.21,-0.67,0.9,2.34
ABDP #3,98.3,-6.02,6.03,-0.53,4.52
ABDP #3,111.1,-4.97,6.22,-0.22,5.36
ABDP #3,124.3,-3.23,5.58,-0.14,4.02
ABDP #3,141.2,-4.98,6.9,-0.6,5.64
C12(V),,-7.77,-1.97,-4.8,1.1
C22 (V),,11.28,5.03,-1.87,1.52
C17 (V),,5.23,1.34,-3.52,1.28
C23 (V),,14.29,4.37,-1.91,1.1
C13 (V),,-1.25,-4.77,-5.02,0.89
C20 (V),,-6.33,-2.23,-4.98,0.97
C14 (V),,-2.13,-0.72,-4.34,1.32
C21 (V),,-1,-3.04,-4.58,1.04
C15 (V),,11.75,5.71,-1.91,1.37
C8 (B),,4.33,-2.95,-5.34,1.44
C18 (V),,-0.53,-2.69,-5.57,1.66
C1 (B),,9.54,5.2,-2.17,1.37
C4 (B),,3.52,1.4,-4.01,1.42
C9 (B),,5.35,5.5,-2.81,1.97
C10 (B),,6.75,5.73,-2.59,1.5
C5 (B),,8.79,-2.57,-4.01,1.28
BOT,,2.38,0.65,1.48,2.06
SEL,,-2.05,-1.82,-1.17,2.57
BR,,-5.97,3.08,1.22,2.49
WC1,,-4.13,7.86,-0.96,3.26
WC3 -,,16.94,-9.89,-3.81,1.81
ZX1 -,,14.52,-14.93,14.36,NaN
ZX2 -,,11.77,-14.77,13.61,NaN
ZX3 -,,15.44,-9.61,13.34,NaN
Parktown,,-10.58,-15.14,-6.55,1.4
Promise,,-19.12,-18.87,-6.52,0.95
Roodepoo,,-0.62,-2.63,-0.96,1.69
Booysens,,-6.71,1.18,2.92,1.44
K8,,-3.73,10.11,-2.26,3.31
813-1,,6.53,-1.1,0.23,1.47
813-2,,3.04,-0.23,0.07,1.58
813-3,,5.37,-0.73,0.04,1.45
813-4,,0.11,1.9,0.26,1.71
813-5,,2.56,1.12,1.28,NaN
813-6,,3.8,0.53,1.11,1.51
813-7,,-3.19,2.66,1.28,NaN
813-8,,4.44,0.7,1.71,NaN
813-30,,4.74,1.71,0.2,NaN
813-31,,-5.43,2.73,0.1,NaN
813-32,,6.43,0.18,0.28,1.34
813-33 -,,11.69,8.48,-0.63,3.06
813-13 -,,14.18,7.8,-0.1,3.25
813-14,,-6.61,5.71,0.17,NaN
813-15,,7.49,1.18,-0.09,1.73
813-17,,6.28,1.31,0,1.76
813-19,,-3.77,-3.14,6.3,1.08
813-20,,-6.74,-3.63,5.81,1.16
813-21,,-3.06,1.07,3.23,NaN
813-22,,-0.91,-0.56,3.43,1.16
813-23,,-6.97,-3.18,5.97,NaN
GY-4,,-4.42,4.63,-0.8,2.46
GY-7,,0.77,-0.1,-0.12,1.72
GY-9,,-6.74,5.34,-0.29,NaN
GY-11,,4.62,1.02,0.04,NaN
GY-22,,-1.72,4.63,-0.36,2.44
GY-24,,,,,
GY-31,,0.47,3.1,-0.25,2.05
GY-20,,1.43,2.59,-0.94,1.89
S4-1,,-5.22,-0.32,2.52,NaN
S4-2,,-3.56,-0.17,2.06,NaN
S4-4,,-5.39,-0.26,2.64,NaN
S4-5,,-4.56,0.07,2.54,NaN
S4-10,,-5.8,-5.48,7.64,NaN
S4-13,,-7.18,-3.18,6.83,NaN
S4-14,,-5.96,-3.13,6.36,NaN
S4-16,,-3.81,-4.07,6.48,NaN
S4-18,,-8.54,-1.44,5.91,NaN
T-1,,1.9,-0.13,3.21,1.31
T-3,,0.18,-3.29,4.52,NaN
T-4,,3.4,-0.11,3.19,1.57
T-5,,1.14,-1.47,4.35,1.33
T-8,,3.16,-1.93,3.6,1.17
T-9,,1,-2.47,3.67,1.12
T-12,,3.5,-1.7,3.54,0.89
T-13,,3.78,-0.16,4.01,NaN
Dou-7,,2.63,-1.38,3.68,NaN
723-20,,-4.48,5.39,0.64,NaN
723-14,,0.16,2.89,1.05,1.58
723-17,,-3.08,3.95,0.52,1.89
723-18,,6.41,0.18,1.78,0.87
723-20,,-1.12,3.64,1.2,NaN
TB1,,-0.18,2.88,2.42,NaN
TB2,,-0.75,3.66,0.99,2.74
TB6,,4.57,1.31,0.99,NaN
TB7,,2.24,2.53,3.48,6.12
TB8,,3.97,1.27,1.78,NaN
TB10,,5.89,3.22,2.55,0.8
TB11,,4.63,1.48,1.34,NaN
FVG-1 76,5.8,8.14,3.33,-0.43,5.29
FVG-1 81,6.3,0.17,0.74,1.27,4.68
FVG-1  7,93.28,2.81,1.15,0.72,3.32
FVG-1 79,9,-7.2,1.54,3.54,3.9
BX11,,-1.54,4.3,-3.03,NaN
BX12,,-4.29,-3.69,-1.28,NaN
BX2 -,,10.2,-2.57,-1.5,NaN
BX13,,-7.36,-1.54,-1.39,NaN
BX10 -,,11.15,1.92,1.84,NaN
BX5,,-5.67,0.54,-1.96,NaN
BX6 -,,12.07,-2.65,-3.25,NaN
BX7 -,,11.57,-0.45,-2.09,NaN
BX8 -,,14.28,1.23,-0.73,NaN
BX4 -,,11.67,2.65,-2.72,NaN
BX14,,3.33,1.32,-2.81,NaN
BX15 -,,13.03,-9.64,-5.57,NaN
WITS2,,,,,
DN48,,0.88,4.68,-2.25,4.62
DN51,,3.23,3.13,-2.28,4.49
DN52,,-2.8,4.28,-1.82,3.55
DN45,,6.84,0.83,-2.16,5.35
DN39,,-0.45,4.62,-2.08,5.13
DN37,,7.68,-0.18,-1.53,3.16
DN24,,11.72,-0.81,-2.05,2.91
DN26,,18.61,-3.5,-1.71,2.87
DN28,,12.45,-1.56,-1.79,2.99
DN29,,-1.5,5.6,-1.33,5.21
DN30,,2.65,2.55,-1.97,4.41
DN35,,7.51,0.92,-1.17,3.73
DN19,,2.26,2.96,-1.88,3.88
DN3,,2.09,2.3,-2.07,5.59
DN7,,13.18,-1.96,-1.85,3.49
DN12,,8.03,-0.19,-1.82,3.93
DN14,,-2.92,4.89,-1.85,5.38
DN15,,-0.17,4.38,-1.34,4.51
CL22,,2.19,2.82,-1.95,3.69
CL23,,19.55,-3.82,-1.6,2.39
CL24,,15.66,-2.68,-1.92,4